		drum	EQ
1	AmJesus		
2	baubaubeby		
3	Brat		
4	BrokenDreams		
5	EptaLenta		
6	Fastasa-BFD		
7	Fastasa		
8	MrClean		
9	Radio		
10	Vortice		
11	BTLaw		
12	Epta		
13	Gelati		
14	Glue		
15	Havana		
16	IDontCare		
17	air		
18	DDDDC		
19	HighV		
20	IronMan		
21	Mistake		
22	NoWay		
23	Somebody		
24	stone		
25	whole		
26	wounds		
27	iomelameno		
28	old-iomelameno		
29	kinotto		
30	Lamento		
31	Landlord		
32	Largo		
33	lastcar		
34	Linoleum		
35	Living		
36	Panka		
37	Paranoid		
38	Rigurgito		
39	Rosbo		
40	Rockaway		
41	sbarbe		
42	sgomma		
43	teenage		
44	today		
45	waves		
